step,train_loss,forward_duration,backward_duration,total_duration,before_gpu_mem,forward_gpu_mem,backward_gpu_mem,peak_gpu_mem,eval_loss,eval_duration
109,7.455862045288086,0.021249860525131226,0.264501228928566,0.2857510894536972,1280491520,17995475968,6631752192,28383866368,,
110,7.514510154724121,0.03341507539153099,0.26853667572140694,0.3019517511129379,1280327680,17995508736,6631948800,28384062976,7.4680040937955265,0.18364614767373585
111,7.4561285972595215,0.026528793387115,0.29706650972366333,0.32359530311077833,1280524288,17995803648,6631916032,28384161280,,
112,7.52943229675293,0.02119957096874714,0.2679243106395006,0.28912388160824776,1280491520,17995574272,6631916032,28383964672,,
113,7.446324348449707,0.1130347466096282,0.27473053243011236,0.38776527903974056,1280491520,17995574272,6632735232,28383964672,,
114,7.464308261871338,0.021172800101339817,0.26409129705280066,0.2852640971541405,1281310720,17995475968,6631916032,28383047168,,
115,7.472081184387207,0.02117434050887823,0.26435584854334593,0.28553018905222416,1280491520,17994787840,6631916032,28383178240,,
116,7.4456024169921875,0.021249561570584774,0.26410179678350687,0.28535135835409164,1280491520,17994656768,6633521664,28383047168,,
117,7.4310078620910645,0.021132830530405045,0.2644019490107894,0.28553477954119444,1282097152,17996262400,6634078720,28383047168,,
118,7.501744270324707,0.021187420934438705,0.274367599748075,0.2955550206825137,1282654208,17996819456,6633357824,28383047168,,
119,7.509922981262207,0.02762944158166647,0.2662369906902313,0.2938664322718978,1281933312,17996098560,6633357824,28383047168,,
120,7.454355239868164,0.02116620261222124,0.26402136217802763,0.28518756479024887,1281933312,17996098560,6633521664,28383047168,7.437901199841108,0.1834800183986787
121,7.455799579620361,0.026030750013887882,0.2935678083449602,0.3195985583588481,1282097152,17996262400,6633521664,28383047168,,
122,7.4504923820495605,0.022251070477068424,0.286263563670218,0.3085146341472864,1282097152,17996950528,6632735232,28383735296,,
123,7.445762634277344,0.02724657580256462,0.2639636714011431,0.2912102472037077,1281310720,17995475968,6632735232,28383047168,,
124,7.467000484466553,0.02256891317665577,0.320095282047987,0.34266419522464275,1281310720,17996262400,6632735232,28383833600,,
125,7.3646745681762695,0.04045452084392309,0.26420052349567413,0.3046550443395972,1281310720,17995475968,6632735232,28383047168,,
126,7.421741962432861,0.02107241563498974,0.26403588335961103,0.2851082989946008,1281310720,17995475968,6632931840,28383047168,,
127,7.430044651031494,0.021171134896576405,0.2643536441028118,0.2855247789993882,1281507328,17996393472,6632735232,28383768064,,
128,7.411918640136719,0.02250141091644764,0.2643362944945693,0.28683770541101694,1281310720,17995475968,6632735232,28383047168,,
129,7.428393840789795,0.02131099533289671,0.2639299416914582,0.28524093702435493,1281310720,17995475968,6633456128,28383047168,,
130,7.394685745239258,0.02113904431462288,0.2639897335320711,0.285128777846694,1282031616,17996196864,6632735232,28383047168,7.409057281056389,0.1839355139336625
131,7.437974452972412,0.02654501236975193,0.29725157748907804,0.32379658985883,1281310720,17995475968,6633521664,28383047168,,
132,7.405486583709717,0.021224125288426876,0.26472546625882387,0.28594959154725075,1282097152,17996262400,6632735232,28383047168,,
133,7.4727091789245605,0.021437495946884155,0.26399800181388855,0.2854354977607727,1281310720,17995475968,6632735232,28383047168,,
134,7.4007086753845215,0.022477411665022373,0.2648752173408866,0.28735262900590897,1281310720,17995574272,6632735232,28383145472,,
135,7.4584760665893555,0.03493000380694866,0.26440373435616493,0.2993337381631136,1281310720,17995574272,6632735232,28383145472,,
136,7.409567356109619,0.021354597061872482,0.2641987232491374,0.2855533203110099,1281310720,17995574272,6632735232,28383145472,,
137,7.419000625610352,0.02119215577840805,0.26421299390494823,0.2854051496833563,1281310720,17995574272,6632735232,28383145472,,
138,7.392592906951904,0.02130355592817068,0.2639150535687804,0.2852186094969511,1281310720,17995475968,6632768000,28383047168,,
139,7.405571460723877,0.021143725141882896,0.2641479531303048,0.2852916782721877,1281343488,17995607040,6632931840,28383145472,,
140,7.404134273529053,0.0636872872710228,0.26875687576830387,0.33244416303932667,1281507328,17995672576,6632571392,28383047168,7.381376086688433,0.18202203475549572
141,7.403142929077148,0.0224492521956563,0.27854462526738644,0.30099387746304274,1281146880,17995607040,6632571392,28383342080,,
142,7.379319190979004,0.021164624951779842,0.2642481345683336,0.28541275952011347,1281146880,17995475968,6632571392,28383211008,,
143,7.383505821228027,0.18696719035506248,0.295537980273366,0.48250517062842846,1281146880,17995475968,6632571392,28383211008,,
144,7.389058589935303,0.027010704390704632,0.2643083343282342,0.2913190387189388,1281146880,17995475968,6633292288,28383211008,,
145,7.278844833374023,0.021270304918289185,0.26419363263994455,0.28546393755823374,1281867776,17996196864,6632571392,28383211008,,
146,7.4018025398254395,0.021117424592375755,0.26427365373820066,0.2853910783305764,1281146880,17995475968,6632571392,28383211008,,
147,7.418676376342773,0.021210335195064545,0.26387211214751005,0.2850824473425746,1281146880,17995475968,6632571392,28383211008,,
148,7.395007610321045,0.021056614816188812,0.26410000305622816,0.285156617872417,1281146880,17995475968,6632571392,28383211008,,
149,7.3556413650512695,0.022920474410057068,0.26424128469079733,0.2871617591008544,1281146880,17995475968,6632571392,28383211008,,
150,7.3572540283203125,0.021255035884678364,0.26465080585330725,0.2859058417379856,1281146880,17996196864,6632571392,28383931904,7.352756289185071,0.18304057883434607
151,7.379227638244629,0.026891502551734447,0.30000009201467037,0.3268915945664048,1281146880,17995475968,6633357824,28383211008,,
152,7.300235748291016,0.021761308424174786,0.31157736014574766,0.33333866856992245,1281933312,17996262400,6632571392,28383211008,,
153,7.342511177062988,0.04464395251125097,0.26408772356808186,0.30873167607933283,1281146880,17995312128,6632571392,28383047168,,
154,7.366869926452637,0.021118984557688236,0.2640006626024842,0.28511964716017246,1281146880,17995475968,6631948800,28383211008,,
155,7.355502605438232,0.03016900923103094,0.2642713338136673,0.29444034304469824,1280524288,17995508736,6632636928,28383866368,,
156,7.356441020965576,0.021686827763915062,0.2642455641180277,0.28593239188194275,1281212416,17996393472,6632636928,28384062976,,
157,7.405656814575195,0.021404357627034187,0.26389479357749224,0.2852991512045264,1281212416,17995574272,6631916032,28383243776,,
158,7.383192539215088,0.02382568921893835,0.2646515555679798,0.28847724478691816,1280491520,17995475968,6633325056,28383866368,,
159,7.337301731109619,0.021247095428407192,0.2639196114614606,0.2851667068898678,1281900544,17996884992,6632702464,28383866368,,
160,7.350030422210693,0.0739279082044959,0.2820702325552702,0.3559981407597661,1281277952,17996262400,6631752192,28383866368,7.324694977432001,0.1833436216273513
161,7.3150634765625,0.02694955188781023,0.29751908499747515,0.3244686368852854,1280327680,17995508736,6631916032,28384062976,,
162,7.3380584716796875,0.02115484233945608,0.26778185553848743,0.2889366978779435,1280491520,17995672576,6631916032,28384062976,,
163,7.343055725097656,0.021123971790075302,0.2643250608816743,0.2854490326717496,1280491520,17995672576,6631916032,28384062976,,
164,7.317089557647705,0.021807726472616196,0.2639073682948947,0.2857150947675109,1280491520,17995672576,6631916032,28384062976,,
165,7.316141605377197,0.023440768010914326,0.2707327641546726,0.29417353216558695,1280491520,17995672576,6632636928,28384062976,,
166,7.316340446472168,0.07025467418134212,0.2652627481147647,0.3355174222961068,1281212416,17996393472,6631916032,28384062976,,
167,7.318819522857666,0.021430114284157753,0.2640579603612423,0.28548807464540005,1280491520,17995672576,6631916032,28384062976,,
168,7.310506820678711,0.0211959732696414,0.26416882034391165,0.28536479361355305,1280491520,17995803648,6631916032,28384194048,,
169,7.284116744995117,0.02158399485051632,0.26413523964583874,0.28571923449635506,1280491520,17995672576,6631916032,28384062976,,
170,7.267529487609863,0.02126474305987358,0.2638806188479066,0.28514536190778017,1280491520,17995672576,6631916032,28384062976,7.299908458209429,0.18415715412587905
171,7.304943561553955,0.027600325644016266,0.29636025708168745,0.3239605827257037,1280491520,17995672576,6632636928,28384062976,,
172,7.362479209899902,0.02095773071050644,0.263736966997385,0.28469469770789146,1281212416,17997081600,6631916032,28384751104,,
173,7.288085460662842,0.02093302085995674,0.2637530267238617,0.28468604758381844,1280491520,17995803648,6631916032,28384194048,,
174,7.240230560302734,0.02249824069440365,0.2734784632921219,0.29597670398652554,1280491520,17995672576,6631916032,28384062976,,
175,7.30410623550415,0.027315313927829266,0.27115710731595755,0.2984724212437868,1280491520,17995672576,6631916032,28384062976,,
176,7.2935662269592285,0.04220256395637989,0.2644956624135375,0.3066982263699174,1280491520,17995672576,6633423360,28384062976,,
177,7.325477123260498,0.029537788592278957,0.2637492371723056,0.29328702576458454,1281998848,17997179904,6632702464,28384062976,,
178,7.251415729522705,0.02084900066256523,0.26388933788985014,0.28473833855241537,1281277952,17996459008,6631916032,28384062976,,
179,7.346924304962158,0.02076748013496399,0.2637779274955392,0.2845454076305032,1280491520,17995672576,6632047104,28384062976,,
180,7.266915321350098,0.022705202922225,0.2861240291967988,0.3088292321190238,1280622592,17996000256,6631916032,28384259584,7.275301433000409,0.18304381940941342
181,7.319605350494385,0.026170565746724606,0.284195015206933,0.3103655809536576,1280491520,17995672576,6631916032,28384062976,,
182,7.226885795593262,0.021049411967396736,0.2638116078451276,0.2848610198125243,1280491520,17995672576,6632636928,28384062976,,
183,7.268511772155762,0.02206080872565508,0.28895999770611525,0.3110208064317703,1281212416,17996393472,6631916032,28384062976,,
184,7.230859756469727,0.044244108721613884,0.2661236645653844,0.31036777328699827,1280491520,17995672576,6632702464,28384062976,,
185,7.289640426635742,0.02091202139854431,0.26372080761939287,0.2846328290179372,1281277952,17996262400,6631916032,28383866368,,
186,7.255053997039795,0.02076174970716238,0.26370147708803415,0.28446322679519653,1280491520,17995475968,6632636928,28383866368,,
187,7.251804351806641,0.020948250778019428,0.26395140774548054,0.28489965852349997,1281212416,17996196864,6632636928,28383866368,,
188,7.19017219543457,0.021075822412967682,0.2761273914948106,0.29720321390777826,1281212416,17996196864,6631752192,28383866368,,
189,7.249349117279053,0.02975885011255741,0.2637508176267147,0.2935096677392721,1280327680,17996262400,6631752192,28384816640,,
190,7.202837944030762,0.020902221091091633,0.26887692138552666,0.2897791424766183,1280327680,17995475968,6631752192,28384030208,7.250584797781022,0.182456016662668
191,7.175148963928223,0.02590999286621809,0.2736954018473625,0.2996053947135806,1280327680,17996164096,6631752192,28384718336,,
192,7.286842346191406,0.02988303266465664,0.2641290342435241,0.2940120669081807,1280327680,17995672576,6631752192,28384226816,,
193,7.195871829986572,0.02117316797375679,0.2637830125167966,0.2849561804905534,1280327680,17996360704,6631752192,28384914944,,
194,7.277032852172852,0.020942858420312405,0.26749171037226915,0.28843456879258156,1280327680,17995672576,6631784960,28384226816,,
195,7.326679706573486,0.020994218066334724,0.2637309804558754,0.2847251985222101,1280360448,17996196864,6631752192,28384718336,,
196,7.232460021972656,0.020786245353519917,0.26369324047118425,0.28447948582470417,1280327680,17996295168,6631752192,28384849408,,
197,7.2314605712890625,0.022338095121085644,0.2637161808088422,0.2860542759299278,1280327680,17996262400,6631752192,28384816640,,
198,7.215411186218262,0.020932916551828384,0.2637825617566705,0.28471547830849886,1280327680,17996262400,6632473088,28384816640,,
199,7.2900190353393555,0.02091127634048462,0.2637900719419122,0.2847013482823968,1281048576,17996196864,6631752192,28384030208,,
200,7.2297258377075195,0.0655299061909318,0.27017999440431595,0.33570990059524775,1280327680,17995475968,6631752192,28384030208,7.224184137875916,0.1847595399642577
201,7.2590203285217285,0.02893322892487049,0.2970340717583895,0.32596730068325996,1280327680,17995475968,6631752192,28384030208,,
202,7.273514747619629,0.02109075803309679,0.26442488469183445,0.28551564272493124,1280327680,17995475968,6631752192,28384030208,,
203,7.258954048156738,0.02107692789286375,0.2638065619394183,0.28488348983228207,1280327680,17995475968,6632538624,28384030208,,
204,7.257905006408691,0.05237955879420042,0.26379396207630634,0.31617352087050676,1281114112,17996262400,6631752192,28384030208,,
205,7.213660717010498,0.02076459676027298,0.26371347066015005,0.28447806742042303,1280327680,17995475968,6631752192,28384030208,,
206,7.207625865936279,0.02091672644019127,0.2722106836736202,0.2931274101138115,1280327680,17995475968,6631752192,28384030208,,
207,7.198864459991455,0.028124365024268627,0.26379395090043545,0.2919183159247041,1280327680,17995475968,6632473088,28384030208,,
208,7.146086692810059,0.02250620536506176,0.2637833720073104,0.28628957737237215,1281048576,17996196864,6632538624,28384030208,,
209,7.17602014541626,0.021048108115792274,0.2639825036749244,0.28503061179071665,1281114112,17996262400,6631752192,28384030208,,
210,7.1573004722595215,0.02087382785975933,0.2637660903856158,0.28463991824537516,1280327680,17995475968,6631752192,28384030208,7.201391743831947,0.18442027414309198
211,7.156163215637207,0.025988763198256493,0.29634611774235964,0.32233488094061613,1280327680,17995475968,6632473088,28384030208,,
212,7.244998931884766,0.022195642814040184,0.27364403288811445,0.29583967570215464,1281048576,17995377664,6632473088,28383211008,,
213,7.145857810974121,0.028143133968114853,0.2638118723407388,0.2919550063088536,1281048576,17995377664,6632473088,28383211008,,
214,7.2004170417785645,0.02089068666100502,0.26374668162316084,0.28463736828416586,1281048576,17995377664,6632473088,28383211008,,
215,7.18338680267334,0.020807557739317417,0.2637582113966346,0.284565769135952,1281048576,17995377664,6632473088,28383211008,,
216,7.192935466766357,0.020855247043073177,0.26370243076235056,0.28455767780542374,1281048576,17995377664,6632473088,28383211008,,
217,7.156344890594482,0.020816955715417862,0.2638194812461734,0.28463643696159124,1281048576,17995377664,6632473088,28383211008,,
218,7.11195707321167,0.029403709806501865,0.26391990203410387,0.29332361184060574,1281048576,17995377664,6632473088,28383211008,,
219,7.100574970245361,0.020779945887625217,0.2637386517599225,0.2845185976475477,1281048576,17995377664,6632473088,28383211008,,
220,7.196585655212402,0.02086170669645071,0.26374058052897453,0.28460228722542524,1281048576,17995377664,6632473088,28383211008,7.173770138474762,0.18372885650787196
221,7.1768622398376465,0.026062394492328167,0.2800261452794075,0.30608853977173567,1281048576,17995377664,6632473088,28383211008,,
222,7.185585021972656,0.021120857447385788,0.26379452273249626,0.28491538017988205,1281048576,17995377664,6632473088,28383211008,,
223,7.137248992919922,0.020872706547379494,0.2637204211205244,0.2845931276679039,1281048576,17995377664,6632473088,28383211008,,
224,7.107254981994629,0.021029727533459663,0.26717184856534004,0.2882015760987997,1281048576,17995377664,6632473088,28383211008,,
225,7.151962757110596,0.039435301907360554,0.26394784171134233,0.3033831436187029,1281048576,17995377664,6632473088,28383211008,,
226,7.172783374786377,0.020868156105279922,0.26377724204212427,0.2846453981474042,1281048576,17995377664,6632473088,28383211008,,
